business_name,dba_name,building,street,city,state,zip,swc_type,swc_sq_ft,swc_tables,swc_chairs,latitude,longitude,community_district,city_council_district
600 WEST 169TH REST. INC.,COOGANS,4015,BROADWAY,MANHATTAN ,NY,10032,Unenclosed,360,22,44,40.84168872728264,-73.93973071005414,112,10
156 TENTH AVENUE RESTAURANT LLC,10TH AVENUE COOKSHOP,156,10TH AVE,MANHATTAN ,NY,10011,Unenclosed,506,22,44,40.74548510783443,-74.00550359424685,104,3
UPPER WEST REST. CORP.,FRED'S,476,AMSTERDAM AVE,MANHATTAN ,NY,10024,Unenclosed,504,22,44,40.78563569805884,-73.97666152156812,107,6
OSTERIA POSITANO LLC,POSITANO,10018,4TH AVE,BROOKLYN,NY,11209,Unenclosed,441,22,44,40.61263592343074,-74.03407959075122,310,43
"PLOUTARXOS, INC.",AGORA TAVERNA,7009,AUSTIN ST,FOREST HILLS,NY,11375,Unenclosed,481,22,44,40.72108919703668,-73.84657619736745,406,29
EFTIHIA REST INC.,TOM'S RESTAURANT,2880,BROADWAY,MANHATTAN ,NY,10025,Unenclosed,465,22,44,40.80548002891448,-73.96548574212666,109,7
"TRIBECA GRAND HOTEL, INC.",TRIBECA GRAND HOTEL,32,WHITE ST,MANHATTAN ,NY,10013,Unenclosed,575,21,42,40.71937429342966,-74.0047222180099,101,1
"BROADWAY DESSERTS, LTD.",FRENCH ROAST,2340,BROADWAY,MANHATTAN ,NY,10024,Unenclosed,480,21,48,40.78732652306051,-73.97700760238223,107,6
LITTLE MOROCCO RESTAURANT CORP.,LITTLE MOROCCO,2439,STEINWAY ST,ASTORIA,NY,11103,Unenclosed,420,21,47,40.767963488156504,-73.91129181327271,401,22
"CAFFE SILVESTRI, INC.",CAFFE NAPOLI,191,HESTER ST,MANHATTAN ,NY,10013,Unenclosed,380,21,42,40.71826274099818,-73.99776699450159,102,1
BROWN SUGAR BAR AND RESTAURANT INC,BROWN SUGAR,5060,BROADWAY,MANHATTAN ,NY,10034,Unenclosed,464,21,43,40.869996103155074,-73.9154945071822,112,10
"GRILLO, LTD.",HENRY'S,2745,BROADWAY,MANHATTAN ,NY,10025,Unenclosed,680,21,62,40.80096299720619,-73.96822230936685,107,6
"119 7TH AVENUE CAFETERIA, LLC",CAFETERIA,119,7TH AVE,MANHATTAN ,NY,10011,Unenclosed,470,21,42,40.74052820285414,-73.9980080275394,104,3
"LUCIFER RESTAURANT, LLC",PETITE ABEILLE ,401,E 20TH ST,MANHATTAN ,NY,10010,Unenclosed,343,21,42,40.73487474031346,-73.97835357061174,106,4
AMYLOS LLC,AMYLOS,3319,BROADWAY,ASTORIA,NY,11106,Enclosed,480,21,46,40.7611157086642,-73.92325285795636,401,22
BAR GIACOSA CORP.,BAR PITTI,268,AVENUE OF THE AMERICAS,MANHATTAN ,NY,10014,Unenclosed,480,21,49,40.72909081123215,-74.00218646399611,102,3
TS3 HOSPITALITY LLC,THE SMITH,1900,BROADWAY,MANHATTAN ,NY,10023,Unenclosed,604,21,54,40.77152043591371,-73.9817353649362,107,6
OMONIA CAFE INC.,OMONIA CAFE,3220,BROADWAY,ASTORIA,NY,11106,Enclosed,497,21,48,40.761113599589216,-73.92421305719117,401,22
GRAHAM RESTAURANT LLC,SAGE,299,GRAHAM AVE,BROOKLYN,NY,11211,Unenclosed,479,21,37,40.71287235109967,-73.94440301661768,301,34
OLIO RESTAURANTS LLC,OLIO,3,GREENWICH AVE,MANHATTAN ,NY,10014,Unenclosed,449,21,46,40.73374044648179,-73.99976907019774,102,3
